Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FindEntryPoint\FindEntryPoint.csproj,File,FindEntryPoint\FindEntryPoint.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LibSodium.Net\LibSodium.Net.csproj,File,LibSodium.Net\LibSodium.Net.csproj,,,System.Memory 4.6.0,,,,,"System.Memory, 4.6.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,LibSodium.Net\LibSodium.Net.csproj,File,LibSodium.Net\LibSodium.Net.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,LibSodium.Net.ReadPastAllocatedMemory\LibSodium.Net.ReadPastAllocatedMemory.csproj,File,LibSodium.Net.ReadPastAllocatedMemory\LibSodium.Net.ReadPastAllocatedMemory.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,LibSodium.Net.Tests\LibSodium.Net.Tests.csproj,File,LibSodium.Net.Tests\LibSodium.Net.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,LibSodium.Net.WriteReadOnlyProtectedMemory\LibSodium.Net.WriteReadOnlyProtectedMemory.csproj,File,LibSodium.Net.WriteReadOnlyProtectedMemory\LibSodium.Net.WriteReadOnlyProtectedMemory.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
